rank,dessert
1,Chocolate chip cookies
2,Apple pie
3,Cheesecake
4,Pecan pie
5,Carrot cake
6,Ice cream
7,Boston cream pie
8,Banana pudding
9,Baked Alaska
10,Buckeyes
11,Indiana sugar cream pie
12,S'mores
13,Lane cake
14,Bananas foster
15,Black and white cookies
16,Swiss roll
17,Shave ice
18,Coca-Cola cake
19,Rice Krispies treats
20,Pumpkin pie
21,Red velvet cake
22,Funnel cake
23,Lady Baltimore cake
24,Pralines
25,Lemon squares
26,Peach cobbler
27,Mississippi mud cake
28,Icebox cakes
29,Donuts
30,Gooey butter cake
31,Fudge
32,Banana split
33,Jell-O
34,Chess pie
35,Sour cream pound cake
36,Key lime pie
37,Cherry pie
38,Seven-layer bars
39,Coconut cake
40,Brownies
41,Blondies
